Data;Codigo;Tipo;Sigla;Compra;Venda;X;Y
04012016;220;A;USD;4,038;4,0387;1;1
05012016;220;A;USD;4,0108;4,0114;1;1
06012016;220;A;USD;4,0297;4,0303;1;1
07012016;220;A;USD;4,0469;4,0475;1;1
08012016;220;A;USD;4,0244;4,025;1;1
11012016;220;A;USD;4,0147;4,0153;1;1
12012016;220;A;USD;4,0293;4,0299;1;1
13012016;220;A;USD;3,9857;3,9863;1;1
14012016;220;A;USD;4,0217;4,0223;1;1
15012016;220;A;USD;4,0396;4,0402;1;1
18012016;220;A;USD;4,0358;4,0364;1;1
19012016;220;A;USD;4,0297;4,0303;1;1
20012016;220;A;USD;4,0855;4,0861;1;1
21012016;220;A;USD;4,1552;4,1558;1;1
22012016;220;A;USD;4,1226;4,1232;1;1
25012016;220;A;USD;4,0991;4,1002;1;1
26012016;220;A;USD;4,0961;4,0967;1;1
27012016;220;A;USD;4,0441;4,0448;1;1
28012016;220;A;USD;4,0832;4,0838;1;1
29012016;220;A;USD;4,0422;4,0428;1;1
01022016;220;A;USD;3,9979;3,9986;1;1
02022016;220;A;USD;3,9913;3,9919;1;1
03022016;220;A;USD;3,9552;3,9558;1;1
04022016;220;A;USD;3,8646;3,8653;1;1
05022016;220;A;USD;3,8969;3,8975;1;1
10022016;220;A;USD;3,9406;3,9412;1;1
11022016;220;A;USD;3,9636;3,9642;1;1
12022016;220;A;USD;3,9884;3,9891;1;1
15022016;220;A;USD;3,9879;3,9885;1;1
16022016;220;A;USD;4,0207;4,0213;1;1
17022016;220;A;USD;4,0312;4,0318;1;1
18022016;220;A;USD;4,0084;4,0091;1;1
19022016;220;A;USD;4,0486;4,0492;1;1
22022016;220;A;USD;3,9612;3,9618;1;1
23022016;220;A;USD;3,9678;3,9684;1;1
24022016;220;A;USD;3,9894;3,99;1;1
25022016;220;A;USD;3,9394;3,94;1;1
26022016;220;A;USD;3,9571;3,9578;1;1
29022016;220;A;USD;3,979;3,9796;1;1
01032016;220;A;USD;3,9907;3,9913;1;1
02032016;220;A;USD;3,911;3,9116;1;1
03032016;220;A;USD;3,8498;3,8504;1;1
04032016;220;A;USD;3,7182;3,7188;1;1
07032016;220;A;USD;3,7708;3,7714;1;1
08032016;220;A;USD;3,7807;3,7813;1;1
09032016;220;A;USD;3,7031;3,7037;1;1
10032016;220;A;USD;3,6694;3,67;1;1
11032016;220;A;USD;3,6265;3,6271;1;1
14032016;220;A;USD;3,6232;3,6239;1;1
15032016;220;A;USD;3,711;3,7116;1;1
16032016;220;A;USD;3,8073;3,8079;1;1
17032016;220;A;USD;3,6439;3,6445;1;1
18032016;220;A;USD;3,614;3,6146;1;1
21032016;220;A;USD;3,6223;3,6229;1;1
22032016;220;A;USD;3,6067;3,6073;1;1
23032016;220;A;USD;3,6525;3,6531;1;1
24032016;220;A;USD;3,6942;3,6948;1;1
28032016;220;A;USD;3,6401;3,6408;1;1
29032016;220;A;USD;3,6681;3,6687;1;1
30032016;220;A;USD;3,611;3,6116;1;1
31032016;220;A;USD;3,5583;3,5589;1;1
01042016;220;A;USD;3,5793;3,5799;1;1
04042016;220;A;USD;3,5865;3,5871;1;1
05042016;220;A;USD;3,6575;3,6581;1;1
06042016;220;A;USD;3,6743;3,6749;1;1
07042016;220;A;USD;3,6915;3,6921;1;1
08042016;220;A;USD;3,6379;3,6385;1;1
11042016;220;A;USD;3,5278;3,5284;1;1
12042016;220;A;USD;3,54;3,5406;1;1
13042016;220;A;USD;3,5423;3,5429;1;1
14042016;220;A;USD;3,512;3,5126;1;1
15042016;220;A;USD;3,527;3,5276;1;1
18042016;220;A;USD;3,5898;3,5904;1;1
19042016;220;A;USD;3,5532;3,5538;1;1
20042016;220;A;USD;3,5497;3,5503;1;1
22042016;220;A;USD;3,5823;3,5829;1;1
25042016;220;A;USD;3,5466;3,5472;1;1
26042016;220;A;USD;3,5294;3,5301;1;1
27042016;220;A;USD;3,5289;3,5295;1;1
28042016;220;A;USD;3,4986;3,4992;1;1
29042016;220;A;USD;3,4502;3,4508;1;1
02052016;220;A;USD;3,4985;3,4991;1;1
03052016;220;A;USD;3,5544;3,555;1;1
04052016;220;A;USD;3,5391;3,5397;1;1
05052016;220;A;USD;3,529;3,5296;1;1
06052016;220;A;USD;3,5356;3,5362;1;1
09052016;220;A;USD;3,538;3,5387;1;1
10052016;220;A;USD;3,4766;3,4772;1;1
11052016;220;A;USD;3,4639;3,4645;1;1
12052016;220;A;USD;3,4871;3,4877;1;1
13052016;220;A;USD;3,5035;3,5041;1;1
16052016;220;A;USD;3,5029;3,5035;1;1
17052016;220;A;USD;3,5031;3,5037;1;1
18052016;220;A;USD;3,5362;3,5368;1;1
19052016;220;A;USD;3,5997;3,6003;1;1
20052016;220;A;USD;3,5413;3,5419;1;1
23052016;220;A;USD;3,5654;3,566;1;1
24052016;220;A;USD;3,5485;3,5491;1;1
25052016;220;A;USD;3,5798;3,5804;1;1
27052016;220;A;USD;3,6162;3,6168;1;1
30052016;220;A;USD;3,5991;3,5997;1;1
31052016;220;A;USD;3,5945;3,5951;1;1
01062016;220;A;USD;3,612;3,6126;1;1
02062016;220;A;USD;3,5955;3,5961;1;1
03062016;220;A;USD;3,5403;3,5409;1;1
06062016;220;A;USD;3,5092;3,5098;1;1
07062016;220;A;USD;3,4739;3,4745;1;1
08062016;220;A;USD;3,3892;3,3898;1;1
09062016;220;A;USD;3,3811;3,3817;1;1
10062016;220;A;USD;3,4255;3,4261;1;1
13062016;220;A;USD;3,4527;3,4533;1;1
14062016;220;A;USD;3,4833;3,4839;1;1
15062016;220;A;USD;3,4762;3,4768;1;1
16062016;220;A;USD;3,4898;3,4904;1;1
17062016;220;A;USD;3,4366;3,4372;1;1
20062016;220;A;USD;3,3829;3,3835;1;1
21062016;220;A;USD;3,3891;3,3897;1;1
22062016;220;A;USD;3,3877;3,3883;1;1
23062016;220;A;USD;3,3527;3,3533;1;1
24062016;220;A;USD;3,3766;3,3772;1;1
27062016;220;A;USD;3,3928;3,3934;1;1
28062016;220;A;USD;3,3261;3,3267;1;1
29062016;220;A;USD;3,2429;3,2435;1;1
30062016;220;A;USD;3,2092;3,2098;1;1
01072016;220;A;USD;3,2292;3,2298;1;1
04072016;220;A;USD;3,2474;3,248;1;1
05072016;220;A;USD;3,2898;3,2904;1;1
06072016;220;A;USD;3,3236;3,3242;1;1
07072016;220;A;USD;3,3382;3,3388;1;1
08072016;220;A;USD;3,2962;3,2968;1;1
11072016;220;A;USD;3,3025;3,3031;1;1
12072016;220;A;USD;3,2744;3,275;1;1
13072016;220;A;USD;3,289;3,2896;1;1
14072016;220;A;USD;3,2305;3,2311;1;1
15072016;220;A;USD;3,265;3,2656;1;1
18072016;220;A;USD;3,2628;3,2634;1;1
19072016;220;A;USD;3,2795;3,2801;1;1
20072016;220;A;USD;3,2506;3,2512;1;1
21072016;220;A;USD;3,2579;3,2585;1;1
22072016;220;A;USD;3,2848;3,2854;1;1
25072016;220;A;USD;3,2813;3,2819;1;1
26072016;220;A;USD;3,2784;3,279;1;1
27072016;220;A;USD;3,2814;3,282;1;1
28072016;220;A;USD;3,2734;3,274;1;1
29072016;220;A;USD;3,2384;3,239;1;1
01082016;220;A;USD;3,2656;3,2662;1;1
02082016;220;A;USD;3,2484;3,249;1;1
03082016;220;A;USD;3,2727;3,2733;1;1
04082016;220;A;USD;3,2177;3,2183;1;1
05082016;220;A;USD;3,1853;3,1859;1;1
08082016;220;A;USD;3,1765;3,1771;1;1
09082016;220;A;USD;3,1497;3,1503;1;1
10082016;220;A;USD;3,1296;3,1302;1;1
11082016;220;A;USD;3,1358;3,1364;1;1
12082016;220;A;USD;3,1596;3,1602;1;1
15082016;220;A;USD;3,1666;3,1672;1;1
16082016;220;A;USD;3,1743;3,1749;1;1
17082016;220;A;USD;3,2242;3,2248;1;1
18082016;220;A;USD;3,2209;3,2215;1;1
19082016;220;A;USD;3,2261;3,2267;1;1
22082016;220;A;USD;3,2157;3,2163;1;1
23082016;220;A;USD;3,2047;3,2054;1;1
24082016;220;A;USD;3,2366;3,2372;1;1
25082016;220;A;USD;3,2313;3,2319;1;1
26082016;220;A;USD;3,2147;3,2153;1;1
29082016;220;A;USD;3,2607;3,2613;1;1
30082016;220;A;USD;3,2519;3,2525;1;1
31082016;220;A;USD;3,2397;3,2403;1;1
01092016;220;A;USD;3,2466;3,2472;1;1
02092016;220;A;USD;3,2425;3,2431;1;1
05092016;220;A;USD;3,2715;3,2721;1;1
06092016;220;A;USD;3,2446;3,2452;1;1
08092016;220;A;USD;3,1928;3,1934;1;1
09092016;220;A;USD;3,2632;3,2638;1;1
12092016;220;A;USD;3,2848;3,2854;1;1
13092016;220;A;USD;3,2966;3,2972;1;1
14092016;220;A;USD;3,3256;3,3262;1;1
15092016;220;A;USD;3,332;3,3326;1;1
16092016;220;A;USD;3,2998;3,3004;1;1
19092016;220;A;USD;3,263;3,2636;1;1
20092016;220;A;USD;3,2534;3,254;1;1
21092016;220;A;USD;3,2402;3,2408;1;1
22092016;220;A;USD;3,2009;3,2015;1;1
23092016;220;A;USD;3,2236;3,2242;1;1
26092016;220;A;USD;3,2394;3,24;1;1
27092016;220;A;USD;3,2352;3,2358;1;1
28092016;220;A;USD;3,247;3,2476;1;1
29092016;220;A;USD;3,2229;3,2235;1;1
30092016;220;A;USD;3,2456;3,2462;1;1
03102016;220;A;USD;3,2332;3,2338;1;1
04102016;220;A;USD;3,2197;3,2203;1;1
05102016;220;A;USD;3,2353;3,2359;1;1
06102016;220;A;USD;3,2304;3,231;1;1
07102016;220;A;USD;3,2128;3,2134;1;1
10102016;220;A;USD;3,2119;3,2125;1;1
11102016;220;A;USD;3,213;3,2136;1;1
13102016;220;A;USD;3,2081;3,2087;1;1
14102016;220;A;USD;3,1858;3,1864;1;1
17102016;220;A;USD;3,1957;3,1963;1;1
18102016;220;A;USD;3,1868;3,1874;1;1
19102016;220;A;USD;3,1794;3,18;1;1
20102016;220;A;USD;3,1599;3,1605;1;1
21102016;220;A;USD;3,1587;3,1593;1;1
24102016;220;A;USD;3,1305;3,1311;1;1
25102016;220;A;USD;3,1187;3,1193;1;1
26102016;220;A;USD;3,1213;3,1219;1;1
27102016;220;A;USD;3,1423;3,1429;1;1
28102016;220;A;USD;3,1809;3,1815;1;1
31102016;220;A;USD;3,1805;3,1811;1;1
01112016;220;A;USD;3,2047;3,2053;1;1
03112016;220;A;USD;3,2304;3,231;1;1
04112016;220;A;USD;3,2443;3,2449;1;1
