Data;Codigo;Tipo;Sigla;Compra;Venda;X;Y
1072019;220;A;USD;3,8187;3,8193;1;1
2072019;220;A;USD;3,8558;3,8564;1;1
3072019;220;A;USD;3,8469;3,8475;1;1
4072019;220;A;USD;3,7934;3,794;1;1
5072019;220;A;USD;3,8198;3,8204;1;1
8072019;220;A;USD;3,8059;3,8065;1;1
9072019;220;A;USD;3,7846;3,7858;1;1
10072019;220;A;USD;3,7691;3,7697;1;1
11072019;220;A;USD;3,7527;3,7533;1;1
12072019;220;A;USD;3,7446;3,7452;1;1
15072019;220;A;USD;3,7457;3,7463;1;1
16072019;220;A;USD;3,7618;3,7624;1;1
17072019;220;A;USD;3,7612;3,7618;1;1
18072019;220;A;USD;3,7483;3,7489;1;1
19072019;220;A;USD;3,7402;3,7408;1;1
22072019;220;A;USD;3,7394;3,74;1;1
23072019;220;A;USD;3,7615;3,7621;1;1
24072019;220;A;USD;3,759;3,7596;1;1
25072019;220;A;USD;3,7843;3,7849;1;1
26072019;220;A;USD;3,7735;3,7741;1;1
29072019;220;A;USD;3,7903;3,7909;1;1
30072019;220;A;USD;3,7894;3,79;1;1
31072019;220;A;USD;3,7643;3,7649;1;1
1082019;220;A;USD;3,829;3,8296;1;1
2082019;220;A;USD;3,8733;3,8739;1;1
5082019;220;A;USD;3,9398;3,9404;1;1
6082019;220;A;USD;3,9637;3,9643;1;1
7082019;220;A;USD;3,9844;3,985;1;1
8082019;220;A;USD;3,9403;3,9409;1;1
9082019;220;A;USD;3,9356;3,9362;1;1
12082019;220;A;USD;3,996;3,9966;1;1
13082019;220;A;USD;3,973;3,9736;1;1
14082019;220;A;USD;4,0068;4,0074;1;1
15082019;220;A;USD;4,0182;4,0188;1;1
16082019;220;A;USD;3,9927;3,9933;1;1
19082019;220;A;USD;4,0268;4,0274;1;1
20082019;220;A;USD;4,0419;4,0425;1;1
21082019;220;A;USD;4,0248;4,0254;1;1
22082019;220;A;USD;4,0438;4,0444;1;1
23082019;220;A;USD;4,0845;4,0851;1;1
26082019;220;A;USD;4,1361;4,1367;1;1
